Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
1,Titanic,December,1997,Romance/Drama,Movie,USA,English,195,James Cameron,"Leonardo DiCaprio, Kate Winslet",7.9,89,2200,5000000,Millennials,PG-13,Disney+,Oscar,"Romance, Tragedy",95
2,Inception,July,2010,Sci-Fi/Thriller,Movie,USA,English,148,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.8,87,830,8000000,"Gen Z, Millennials",PG-13,Netflix,Oscar,"Dream, Thriller",98
3,Parasite,May,2019,Thriller/Drama,Movie,South Korea,Korean,132,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",8.6,99,258,4000000,"Gen Z, Millennials",R,Prime Video,Oscar,"Thriller, Class Divide",97
4,Vincenzo,February,2021,Crime/Comedy/Drama,Series,South Korea,Korean,80,Kim Hee-won,"Song Joong-ki, Jeon Yeo-been",8.4,,,2000000,Gen Z,16+,Netflix,Baeksang Nominee,"Mafia, Romance, Comedy",92
5,Queen of Tears,March,2024,Romance/Drama,Series,South Korea,Korean,75,Jang Young-woo,"Kim Soo-hyun, Kim Ji-won",9.1,,,1800000,"Gen Z, Millennials",16+,Netflix,K-Drama Awards,"Romance, Drama",96
6,When I Fly Towards You,June,2023,Romance/Youth,Series,China,Mandarin,45,Mao De Shuai,"Zhou Yi Ran, Zhang Miao Yi",8.3,,,1000000,Gen Z,13+,Youku/Netflix,Asian Drama Awards,"High School, Romance",90
7,Avengers: Endgame,April,2019,Action/Sci-Fi,Movie,USA,English,181,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans",8.4,94,2797,9000000,"Gen Z, Millennials",PG-13,Disney+,Oscar Nominee,"Superhero, Action",99
8,Dangal,December,2016,Drama/Sports,Movie,India,Hindi,161,Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh",8.3,88,311,6000000,Millennials,U,Netflix,Filmfare Award,"Sports, Biopic",94
9,Squid Game,September,2021,Thriller/Drama,Series,South Korea,Korean,55,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo",8,,,5000000,"Gen Z, Millennials",18+,Netflix,Emmy Award,"Survival, Thriller",95
10,Interstellar,November,2014,Sci-Fi/Drama,Movie,USA,English,169,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.6,72,677,7000000,"Gen Z, Millennials",PG-13,Prime Video,Oscar,"Space, Sci-Fi",97
11,Crash Landing on You,December,2019,Romance/Drama,Series,South Korea,Korean,70,Lee Jeong-hyo,"Hyun Bin, Son Ye-jin",8.7,,,2500000,"Gen Z, Millennials",16+,Netflix,Baeksang Award,"Romance, Comedy",95
12,It's Okay to Not Be Okay,June,2020,Romance/Drama,Series,South Korea,Korean,75,Park Shin-woo,"Kim Soo-hyun, Seo Yea-ji",8.6,,,1800000,Gen Z,16+,Netflix,K-Drama Awards,"Romance, Mental Health",92
13,Descendants of the Sun,February,2016,Romance/Action,Series,South Korea,Korean,60,Lee Eung-bok,"Song Joong-ki, Song Hye-kyo",8.3,,,2100000,"Gen Z, Millennials",16+,Netflix,KBS Drama Awards,"Romance, Military",94
14,Goblin (Guardian: The Lonely and Great God),December,2016,Fantasy/Romance,Series,South Korea,Korean,75,Lee Eung-bok,"Gong Yoo, Kim Go-eun",8.7,,,3000000,"Gen Z, Millennials",16+,Netflix,Baeksang Award,"Fantasy, Romance",97
15,My Love From the Star,December,2013,Romance/Fantasy,Series,South Korea,Korean,60,Jang Tae-yoo,"Kim Soo-hyun, Jun Ji-hyun",8.2,,,1500000,Millennials,13+,Netflix,K-Drama Awards,"Fantasy, Romance",91
16,Business Proposal,February,2022,Romance/Comedy,Series,South Korea,Korean,60,Park Seon-ho,"Ahn Hyo-seop, Kim Se-jeong",8.1,,,2000000,Gen Z,13+,Netflix,Asian Drama Awards,"Romance, Comedy",90
17,Legend of the Blue Sea,November,2016,Fantasy/Romance,Series,South Korea,Korean,65,Jin Hyuk,"Lee Min-ho, Jun Ji-hyun",8.1,,,1700000,"Gen Z, Millennials",13+,Netflix,SBS Drama Awards,"Fantasy, Romance",89
18,Extraordinary You,October,2019,Fantasy/Romance,Series,South Korea,Korean,60,Kim Sang-hyeop,"Kim Hye-yoon, Rowoon",7.9,,,1300000,Gen Z,13+,Netflix,MBC Drama Awards,"Fantasy, High School",88
19,Movie 19,May,2004,Adventure,Movie,USA,English,135,Director X,Cast Y,8.4,83,261,3933951,Gen Z,18+,Netflix,,"Adventure, Fiction",90
20,Movie 20,January,1994,Romance,Movie,USA,English,126,Director X,Cast Y,9.2,,,4061168,Gen X,18+,Disney+,,"Romance, Fiction",90
